ORDEN,PEATON,AUTOMOVIL,CAMPAERO,CAMIONETA,MICRO,BUSETA,BUS,CAMION,VOLQUETA,MOTO,BICICLETA,DIURNIO/NOCTURNO,GRAVEDAD
89,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
90,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
91,0,0,0,1,0,0,0,0,0,1,0,Nocturno,Solo Daños
92,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
93,1,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
94,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
95,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
96,1,1,0,0,0,0,0,0,0,0,0,Nocturno,Con Heridos
97,0,1,0,1,0,0,0,0,0,0,0,Nocturno,Solo Daños
98,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
99,0,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
100,0,0,0,2,0,0,0,0,0,0,0,Diurno,Solo Daños
101,1,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
102,0,0,0,1,0,1,0,0,0,0,0,Diurno,Solo Daños
103,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
104,0,0,0,0,0,1,0,0,1,0,0,Diurno,Solo Daños
105,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
106,0,0,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
107,0,0,0,2,0,0,0,0,0,0,0,Nocturno,Solo Daños
108,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
109,0,0,1,0,0,0,0,0,0,1,0,Diurno,Con Heridos
110,0,1,0,0,0,0,0,1,0,0,0,Nocturno,Solo Daños
111,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
112,0,0,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
113,0,0,0,0,0,1,0,1,0,0,0,Nocturno,Solo Daños
114,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
115,0,1,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
116,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
117,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
118,0,0,0,0,1,0,0,0,0,1,0,Diurno,Con Heridos
119,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
120,0,0,0,0,0,1,0,1,0,0,0,Diurno,Solo Daños
121,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
122,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
123,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
124,0,3,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
125,0,0,0,1,0,0,0,0,0,0,0,Nocturno,Solo Daños
126,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
127,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
128,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
129,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
130,0,0,0,0,0,0,0,0,0,2,0,Nocturno,Con Heridos
131,1,1,0,0,0,0,0,0,0,0,0,Nocturno,Con Heridos
132,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
133,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
134,0,1,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
135,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
136,0,1,0,0,0,1,0,0,0,0,0,Diurno,Solo Daños
137,0,2,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
138,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
139,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Muertos
140,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
141,0,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
142,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
143,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
144,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
145,0,0,0,0,0,1,0,1,0,0,0,Diurno,Solo Daños
146,0,2,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
147,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
148,0,0,1,0,0,0,0,0,0,1,0,Diurno,Con Heridos
149,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
150,0,0,0,1,0,0,0,0,0,2,0,Diurno,Con Heridos
151,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
152,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
153,0,0,0,0,1,0,0,0,0,1,0,Diurno,Con Heridos
154,0,1,1,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
155,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
156,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
157,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
158,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
159,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
160,0,0,0,0,0,0,0,0,0,1,1,Diurno,Con Heridos
161,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
162,0,1,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
163,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
164,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Solo Daños
165,0,0,0,1,0,0,0,0,0,1,0,Diurno,Con Heridos
166,0,1,0,0,0,0,0,0,0,2,0,Nocturno,Solo Daños
167,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
168,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
169,0,0,0,1,0,0,0,0,0,1,0,Diurno,Solo Daños
170,0,0,0,2,0,0,0,0,0,0,0,Nocturno,Solo Daños
171,0,0,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
172,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
173,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
174,0,1,0,0,0,0,0,1,0,0,0,Nocturno,Solo Daños
175,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
176,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
177,0,1,0,0,1,0,0,0,0,0,0,Diurno,Solo Daños
178,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
179,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
180,0,0,0,2,0,0,0,0,0,0,0,Diurno,Solo Daños
181,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
182,0,2,0,0,0,0,0,1,0,0,0,Nocturno,Solo Daños
183,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
184,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
185,0,0,0,1,0,0,0,0,0,1,0,Diurno,Solo Daños
186,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
187,0,2,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
188,0,0,0,1,0,0,0,1,0,0,0,Diurno,Solo Daños
189,0,0,0,0,0,1,0,0,0,1,0,Nocturno,Con Heridos
190,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
191,1,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
192,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
193,0,1,0,0,0,1,0,0,0,0,0,Diurno,Solo Daños
194,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
195,0,2,0,0,0,0,0,0,1,0,0,Diurno,Solo Daños
196,2,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
197,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
198,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
199,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
200,0,1,0,0,0,0,0,1,0,0,0,Nocturno,Solo Daños
201,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
202,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
203,0,0,0,0,0,0,0,0,0,2,0,Nocturno,Con Heridos
204,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
205,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
206,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
207,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
208,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
209,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Solo Daños
210,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
211,0,2,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
212,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
213,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
214,0,0,0,0,0,0,1,1,0,0,0,Nocturno,Solo Daños
215,0,1,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
216,0,0,0,0,0,0,0,0,0,3,0,Nocturno,Con Heridos
217,0,1,0,0,0,1,0,0,0,0,0,Diurno,Solo Daños
218,0,0,0,1,0,0,1,0,0,0,0,Diurno,Solo Daños
219,0,0,0,0,0,0,0,0,0,2,0,Nocturno,Solo Daños
220,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
221,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
222,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
223,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
224,0,2,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
225,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
226,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
227,1,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
228,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
229,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
230,0,0,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
231,0,1,0,1,0,0,0,0,0,0,0,Nocturno,Solo Daños
232,0,2,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
233,0,1,0,0,0,0,0,0,0,2,0,Diurno,Con Heridos
234,0,0,0,0,0,0,1,0,0,1,0,Diurno,Solo Daños
235,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
236,0,1,1,0,0,0,0,0,0,0,0,Diurno,Solo Daños
237,0,2,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
238,0,1,0,0,0,0,0,1,0,0,0,Diurno,Solo Daños
239,0,0,0,0,1,0,1,0,0,0,0,Diurno,Solo Daños
240,1,1,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
241,0,2,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
